"year","country","value_usd",""
"2020","usa","8921767847",""
"2021","usa","10959655979",""
"2022","usa","14840229378",""
"2023","usa","13286011149",""
"2024","usa","14335029894",""
"2020","china","2750825326",""
"2021","china","3660969368",""
"2022","china","2153790602",""
"2023","china","2469306485",""
"2024","china","2377153409",""
"2020","italia","961297530",""
"2021","italia","877378128",""
"2022","italia","970846745",""
"2023","italia","814775153",""
"2024","italia","823259816",""
"2020","panama","1428945247",""
"2021","panama","2384743702",""
"2022","panama","5834436475",""
"2023","panama","4659338272",""
"2024","panama","4309344659",""
"2020","india","795165427",""
"2021","india","2238801009",""
"2022","india","2304007376",""
"2023","india","2397798394",""
"2024","india","2668088973",""
